book_id,user_id,rating,original_title
1,314,5,Harry Potter and the Half-Blood Prince
1,439,3,Harry Potter and the Half-Blood Prince
1,588,5,Harry Potter and the Half-Blood Prince
1,1169,4,Harry Potter and the Half-Blood Prince
1,1185,4,Harry Potter and the Half-Blood Prince
1,2077,4,Harry Potter and the Half-Blood Prince
1,2487,4,Harry Potter and the Half-Blood Prince
1,2900,5,Harry Potter and the Half-Blood Prince
1,3662,4,Harry Potter and the Half-Blood Prince
1,3922,5,Harry Potter and the Half-Blood Prince
1,5379,5,Harry Potter and the Half-Blood Prince
1,5461,3,Harry Potter and the Half-Blood Prince
1,5885,5,Harry Potter and the Half-Blood Prince
1,6630,5,Harry Potter and the Half-Blood Prince
1,7563,3,Harry Potter and the Half-Blood Prince
1,9246,1,Harry Potter and the Half-Blood Prince
1,10140,4,Harry Potter and the Half-Blood Prince
1,10146,5,Harry Potter and the Half-Blood Prince
1,10246,4,Harry Potter and the Half-Blood Prince
1,10335,4,Harry Potter and the Half-Blood Prince
1,10610,5,Harry Potter and the Half-Blood Prince
1,10944,5,Harry Potter and the Half-Blood Prince
1,11854,4,Harry Potter and the Half-Blood Prince
1,11927,4,Harry Potter and the Half-Blood Prince
1,12471,5,Harry Potter and the Half-Blood Prince
1,13282,5,Harry Potter and the Half-Blood Prince
1,13544,5,Harry Potter and the Half-Blood Prince
1,15494,5,Harry Potter and the Half-Blood Prince
1,16377,4,Harry Potter and the Half-Blood Prince
1,16913,5,Harry Potter and the Half-Blood Prince
1,17434,5,Harry Potter and the Half-Blood Prince
1,17663,5,Harry Potter and the Half-Blood Prince
1,17984,5,Harry Potter and the Half-Blood Prince
1,18031,5,Harry Potter and the Half-Blood Prince
1,18313,5,Harry Potter and the Half-Blood Prince
1,18361,4,Harry Potter and the Half-Blood Prince
1,20076,3,Harry Potter and the Half-Blood Prince
1,20467,3,Harry Potter and the Half-Blood Prince
1,20848,5,Harry Potter and the Half-Blood Prince
1,21228,5,Harry Potter and the Half-Blood Prince
1,21487,4,Harry Potter and the Half-Blood Prince
1,21713,5,Harry Potter and the Half-Blood Prince
1,22602,4,Harry Potter and the Half-Blood Prince
1,23576,4,Harry Potter and the Half-Blood Prince
1,23612,4,Harry Potter and the Half-Blood Prince
1,24326,5,Harry Potter and the Half-Blood Prince
1,24389,4,Harry Potter and the Half-Blood Prince
1,24499,5,Harry Potter and the Half-Blood Prince
1,24834,4,Harry Potter and the Half-Blood Prince
1,24845,5,Harry Potter and the Half-Blood Prince
1,25164,4,Harry Potter and the Half-Blood Prince
1,25182,5,Harry Potter and the Half-Blood Prince
1,25214,4,Harry Potter and the Half-Blood Prince
1,26145,4,Harry Potter and the Half-Blood Prince
1,26629,4,Harry Potter and the Half-Blood Prince
1,26661,4,Harry Potter and the Half-Blood Prince
1,28158,4,Harry Potter and the Half-Blood Prince
1,28767,5,Harry Potter and the Half-Blood Prince
1,29123,3,Harry Potter and the Half-Blood Prince
1,29703,5,Harry Potter and the Half-Blood Prince
1,30681,5,Harry Potter and the Half-Blood Prince
1,31001,4,Harry Potter and the Half-Blood Prince
1,32055,4,Harry Potter and the Half-Blood Prince
1,32305,5,Harry Potter and the Half-Blood Prince
1,32592,4,Harry Potter and the Half-Blood Prince
1,32635,5,Harry Potter and the Half-Blood Prince
1,32748,5,Harry Potter and the Half-Blood Prince
1,32923,5,Harry Potter and the Half-Blood Prince
1,33065,4,Harry Potter and the Half-Blood Prince
1,33697,4,Harry Potter and the Half-Blood Prince
1,33716,5,Harry Potter and the Half-Blood Prince
1,33872,5,Harry Potter and the Half-Blood Prince
1,33890,3,Harry Potter and the Half-Blood Prince
